"OrderID","CustomerID","EmployeeID","OrderDate","RequiredDate","ShippedDate","ShipVia","Freight","ShipName","ShipAddress","ShipCity","ShipRegion","ShipPostalCode","ShipCountry","CompanyName","Address","City","Region","PostalCode","Country"
"10258","ERNSH","1","","","","1","40.25","Ernst Handel","Kirchgasse 6","Graz","Western Europe","8010","Austria","Ernst Handel","Kirchgasse 6","Graz","Western Europe","8010","Austria"
"10259","CENTC","4","","","","3","12.75","Centro comercial Moctezuma","Sierras de Granada 9993","México D.F.","Central America","5022","Mexico","Centro comercial Moctezuma","Sierras de Granada 9993","México D.F.","Central America","05022","Mexico"
"10260","OTTIK","4","","","","1","35.5","Ottilies Käseladen","Mehrheimerstr. 369","Köln","Western Europe","50739","Germany","Ottilies Käseladen","Mehrheimerstr. 369","Köln","Western Europe","50739","Germany"
"10261","QUEDE","4","","","","2","20","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","South America","02389-673","Brazil","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","South America","02389-673","Brazil"
"10262","RATTC","8","","","","3","17.25","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA"
"10263","ERNSH","9","","","","3","56","Ernst Handel","Kirchgasse 6","Graz","Western Europe","8010","Austria","Ernst Handel","Kirchgasse 6","Graz","Western Europe","8010","Austria"
"10264","FOLKO","6","","","","3","25","Folk och fä HB","Åkergatan 24","Bräcke","Northern Europe","S-844 67","Sweden","Folk och fä HB","Åkergatan 24","Bräcke","Northern Europe","S-844 67","Sweden"
"10265","BLONP","2","","","","1","22.5","Blondel père et fils","24, place Kléber","Strasbourg","Western Europe","67000","France","Blondesddsl père et fils","24, place Kléber","Strasbourg","Western Europe","67000","France"
"10266","WARTH","3","","","","3","13","Wartian Herkku","Torikatu 38","Oulu","Scandinavia","90110","Finland","Wartian Herkku","Torikatu 38","Oulu","Scandinavia","90110","Finland"
"10267","FRANK","4","","","","1","43.75","Frankenversand","Berliner Platz 43","München","Western Europe","80805","Germany","Frankenversand","Berliner Platz 43","München","Western Europe","80805","Germany"
"10268","GROSR","8","","","","3","13.5","GROSELLA-Restaurante","5ª Ave. Los Palos Grandes","Caracas","South America","1081","Venezuela","GROSELLA-Restaurante","5ª Ave. Los Palos Grandes","Caracas","South America","1081","Venezuela"
"10269","WHITC","5","","","","1","30","White Clover Markets","1029 - 12th Ave. S.","Seattle","North America","98124","USA","White Clover Markets","305 - 14th Ave. S. Suite 3B","Seattle","North America","98128","USA"
"10270","WARTH","1","","","","1","23.75","Wartian Herkku","Torikatu 38","Oulu","Scandinavia","90110","Finland","Wartian Herkku","Torikatu 38","Oulu","Scandinavia","90110","Finland"
"10271","SPLIR","6","","","","2","16","Split Rail Beer & Ale","P.O. Box 555","Lander","North America","82520","USA","Split Rail Beer & Ale","P.O. Box 555","Lander","North America","82520","USA"
"10272","RATTC","6","","","","2","27.5","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA"
"10273","QUICK","3","","","","3","48","QUICK-Stop","Taucherstraße 10","Cunewalde","Western Europe","1307","Germany","QUICK-Stop","Taucherstraße 10","Cunewalde","Western Europe","01307","Germany"
"10274","VINET","6","","","","1","16.75","Vins et alcools Chevalier","59 rue de l-Abbaye","Reims","Western Europe","51100","France","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims","Western Europe","51100","France"
"10275","MAGAA","1","","","","1","14.5","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo","Southern Europe","24100","Italy","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo","Southern Europe","24100","Italy"
"10276","TORTU","8","","","","3","16.25","Tortuga Restaurante","Avda. Azteca 123","México D.F.","Central America","5033","Mexico","Tortuga Restaurante","Avda. Azteca 123","México D.F.","Central America","05033","Mexico"
"10277","MORGK","2","","","","3","18","Morgenstern Gesundkost","Heerstr. 22","Leipzig","Western Europe","4179","Germany","Morgenstern Gesundkost","Heerstr. 22","Leipzig","Western Europe","04179","Germany"
"10278","BERGS","8","","","","2","26","Berglunds snabbköp","Berguvsvägen  8","Luleå","Northern Europe","S-958 22","Sweden","Berglunds snabbköp","Berguvsvägen  8","Luleå","Northern Europe","S-958 22","Sweden"
"10279","LEHMS","8","","","","2","13.75","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","Western Europe","60528","Germany","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","Western Europe","60528","Germany"
"10280","BERGS","2","","","","1","25.5","Berglunds snabbköp","Berguvsvägen  8","Luleå","Northern Europe","S-958 22","Sweden","Berglunds snabbköp","Berguvsvägen  8","Luleå","Northern Europe","S-958 22","Sweden"
"10281","ROMEY","4","","","","1","12.75","Romero y tomillo","Gran Vía, 1","Madrid","Southern Europe","28001","Spain","Romero y tomillo","Gran Vía, 1","Madrid","Southern Europe","28001","Spain"
"10282","ROMEY","4","","","","1","12","Romero y tomillo","Gran Vía, 1","Madrid","Southern Europe","28001","Spain","Romero y tomillo","Gran Vía, 1","Madrid","Southern Europe","28001","Spain"
"10283","LILAS","3","","","","3","29","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","South America","3508","Venezuela","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","South America","3508","Venezuela"
"10284","LEHMS","4","","","","1","25.25","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","Western Europe","60528","Germany","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","Western Europe","60528","Germany"
"10285","QUICK","1","","","","2","40.25","QUICK-Stop","Taucherstraße 10","Cunewalde","Western Europe","1307","Germany","QUICK-Stop","Taucherstraße 10","Cunewalde","Western Europe","01307","Germany"
"10286","QUICK","8","","","","3","45","QUICK-Stop","Taucherstraße 10","Cunewalde","Western Europe","1307","Germany","QUICK-Stop","Taucherstraße 10","Cunewalde","Western Europe","01307","Germany"
"10287","RICAR","8","","","","3","28.75","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","South America","02389-890","Brazil","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","South America","02389-890","Brazil"
"10288","REGGC","4","","","","1","13.25","Reggiani Caseifici","Strada Provinciale 124","Reggio Emilia","Southern Europe","42100","Italy","Reggiani Caseifici","Strada Provinciale 124","Reggio Emilia","Southern Europe","42100","Italy"
"10289","BSBEV","7","","","","3","19.75","B-s Beverages","Fauntleroy Circus","London","British Isles","EC2 5NT","UK","B's Beverages","Fauntleroy Circus","London","British Isles","EC2 5NT","UK"
"10290","COMMI","8","","","","1","25","Comércio Mineiro","Av. dos Lusíadas, 23","Sao Paulo","South America","05432-043","Brazil","Comércio Mineiro","Av. dos Lusíadas, 23","Sao Paulo","South America","05432-043","Brazil"
"10291","QUEDE","6","","","","2","21.5","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","South America","02389-673","Brazil","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","South America","02389-673","Brazil"
"10292","TRADH","1","","","","2","15","Tradiçao Hipermercados","Av. Inês de Castro, 414","Sao Paulo","South America","05634-030","Brazil","Tradição Hipermercados","Av. Inês de Castro, 414","Sao Paulo","South America","05634-030","Brazil"
"10293","TORTU","1","","","","3","18.25","Tortuga Restaurante","Avda. Azteca 123","México D.F.","Central America","5033","Mexico","Tortuga Restaurante","Avda. Azteca 123","México D.F.","Central America","05033","Mexico"
"10294","RATTC","4","","","","2","28.75","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA"
"10295","VINET","2","","","","2","11","Vins et alcools Chevalier","59 rue de l-Abbaye","Reims","Western Europe","51100","France","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims","Western Europe","51100","France"
"10296","LILAS","6","","","","1","24.25","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","South America","3508","Venezuela","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","South America","3508","Venezuela"
"10297","BLONP","5","","","","2","30","Blondel père et fils","24, place Kléber","Strasbourg","Western Europe","67000","France","Blondesddsl père et fils","24, place Kléber","Strasbourg","Western Europe","67000","France"
"10298","HUNGO","6","","","","2","41.25","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","British Isles","","Ireland","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","British Isles","","Ireland"
"10299","RICAR","4","","","","2","18.75","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","South America","02389-890","Brazil","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","South America","02389-890","Brazil"
"10300","MAGAA","2","","","","2","22.5","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo","Southern Europe","24100","Italy","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo","Southern Europe","24100","Italy"
"10301","WANDK","8","","","","2","17.5","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","Western Europe","70563","Germany","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","Western Europe","70563","Germany"
"10302","SUPRD","4","","","","2","30","Suprêmes délices","Boulevard Tirou, 255","Charleroi","Western Europe","B-6000","Belgium","Suprêmes délices","Boulevard Tirou, 255","Charleroi","Western Europe","B-6000","Belgium"
"10303","GODOS","7","","","","2","31.25","Godos Cocina Típica","C/ Romero, 33","Sevilla","Southern Europe","41101","Spain","Godos Cocina Típica","C/ Romero, 33","Sevilla","Southern Europe","41101","Spain"
"10304","TORTU","1","","","","2","20.5","Tortuga Restaurante","Avda. Azteca 123","México D.F.","Central America","5033","Mexico","Tortuga Restaurante","Avda. Azteca 123","México D.F.","Central America","05033","Mexico"
"10305","OLDWO","8","","","","3","30","Old World Delicatessen","2743 Bering St.","Anchorage","North America","99508","USA","Old World Delicatessen","2743 Bering St.","Anchorage","North America","99508","USA"
"10306","ROMEY","1","","","","3","16.25","Romero y tomillo","Gran Vía, 1","Madrid","Southern Europe","28001","Spain","Romero y tomillo","Gran Vía, 1","Madrid","Southern Europe","28001","Spain"
"10307","LONEP","2","","","","2","13.25","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Portland","North America","97219","USA","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Portland","North America","97219","USA"
"10308","ANATR","7","","","","3","11.5","Ana Trujillo Emparedados y helados","Avda. de la Constitución 2222","México D.F.","Central America","5021","Mexico","Ana Trujillo Emparedados y helados","Avda. de la Constitución 2222","México D.F.","Central America","05021","Mexico"
"10309","HUNGO","3","","","","1","28.75","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","British Isles","","Ireland","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","British Isles","","Ireland"
"10310","THEBI","8","","","","2","13.75","The Big Cheese","89 Jefferson Way Suite 2","Portland","North America","97201","USA","The Big Cheese","89 Jefferson Way Suite 2","Portland","North America","97201","USA"
"10311","DUMON","1","","","","3","13.25","Du monde entier","67, rue des Cinquante Otages","Nantes","Western Europe","44000","France","Du monde entier","67, rue des Cinquante Otages","Nantes","Western Europe","44000","France"
"10312","WANDK","2","","","","2","24.5","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","Western Europe","70563","Germany","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","Western Europe","70563","Germany"
"10313","QUICK","2","","","","2","13","QUICK-Stop","Taucherstraße 10","Cunewalde","Western Europe","1307","Germany","QUICK-Stop","Taucherstraße 10","Cunewalde","Western Europe","01307","Germany"
"10314","RATTC","1","","","","2","33.75","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA"
"10315","ISLAT","4","","","","2","21","Island Trading","Garden House Crowther Way","Cowes","British Isles","PO31 7PJ","UK","Island Trading","Garden House Crowther Way","Cowes","British Isles","PO31 7PJ","UK"
"10316","RATTC","1","","","","3","30","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA"
"10317","LONEP","6","","","","1","15","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Portland","North America","97219","USA","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Portland","North America","97219","USA"
"10318","ISLAT","8","","","","2","16.5","Island Trading","Garden House Crowther Way","Cowes","British Isles","PO31 7PJ","UK","Island Trading","Garden House Crowther Way","Cowes","British Isles","PO31 7PJ","UK"
"10319","TORTU","7","","","","3","23","Tortuga Restaurante","Avda. Azteca 123","México D.F.","Central America","5033","Mexico","Tortuga Restaurante","Avda. Azteca 123","México D.F.","Central America","05033","Mexico"
"10320","WARTH","5","","","","3","17.5","Wartian Herkku","Torikatu 38","Oulu","Scandinavia","90110","Finland","Wartian Herkku","Torikatu 38","Oulu","Scandinavia","90110","Finland"
"10321","ISLAT","3","","","","2","12.5","Island Trading","Garden House Crowther Way","Cowes","British Isles","PO31 7PJ","UK","Island Trading","Garden House Crowther Way","Cowes","British Isles","PO31 7PJ","UK"
"10322","PERIC","7","","","","3","15","Pericles Comidas clásicas","Calle Dr. Jorge Cash 321","México D.F.","Central America","5033","Mexico","Pericles Comidas clásicas","Calle Dr. Jorge Cash 321","México D.F.","Central America","05033","Mexico"
"10323","KOENE","4","","","","1","13.25","Königlich Essen","Maubelstr. 90","Brandenburg","Western Europe","14776","Germany","Königlich Essen","Maubelstr. 90","Brandenburg","Western Europe","14776","Germany"
"10324","SAVEA","9","","","","1","70.25","Save-a-lot Markets","187 Suffolk Ln.","Boise","North America","83720","USA","Save-a-lot Markets","187 Suffolk Ln.","Boise","North America","83720","USA"
"10325","KOENE","1","","","","3","27.75","Königlich Essen","Maubelstr. 90","Brandenburg","Western Europe","14776","Germany","Königlich Essen","Maubelstr. 90","Brandenburg","Western Europe","14776","Germany"
"10326","BOLID","4","","","","2","32.5","Bólido Comidas preparadas","C/ Araquil, 67","Madrid","Southern Europe","28023","Spain","Bólido Comidas preparadas","C/ Araquil, 67","Madrid","Southern Europe","28023","Spain"
"10327","FOLKO","2","","","","1","45","Folk och fä HB","Åkergatan 24","Bräcke","Northern Europe","S-844 67","Sweden","Folk och fä HB","Åkergatan 24","Bräcke","Northern Europe","S-844 67","Sweden"
"10328","FURIB","4","","","","3","24.75","Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Lisboa","Southern Europe","1675","Portugal","Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Lisboa","Southern Europe","1675","Portugal"
"10329","SPLIR","4","","","","2","22.5","Split Rail Beer & Ale","P.O. Box 555","Lander","North America","82520","USA","Split Rail Beer & Ale","P.O. Box 555","Lander","North America","82520","USA"
"10330","LILAS","3","","","","1","28.75","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","South America","3508","Venezuela","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","South America","3508","Venezuela"
"10331","BONAP","9","","","","1","13.75","Bon app-","12, rue des Bouchers","Marseille","Western Europe","13008","France","Bon app'","12, rue des Bouchers","Marseille","Western Europe","13008","France"
"10332","MEREP","3","","","","2","26.5","Mère Paillarde","43 rue St. Laurent","Montréal","North America","H1J 1C3","Canada","Mère Paillarde","43 rue St. Laurent","Montréal","North America","H1J 1C3","Canada"
"10333","WARTH","5","","","","3","25","Wartian Herkku","Torikatu 38","Oulu","Scandinavia","90110","Finland","Wartian Herkku","Torikatu 38","Oulu","Scandinavia","90110","Finland"
"10334","VICTE","8","","","","2","14.5","Victuailles en stock","2, rue du Commerce","Lyon","Western Europe","69004","France","Victuailles en stock","2, rue du Commerce","Lyon","Western Europe","69004","France"
"10335","HUNGO","7","","","","2","31.5","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","British Isles","","Ireland","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","British Isles","","Ireland"
"10336","PRINI","7","","","","2","14.5","Princesa Isabel Vinhos","Estrada da saúde n. 58","Lisboa","Southern Europe","1756","Portugal","Princesa Isabel Vinhos","Estrada da saúde n. 58","Lisboa","Southern Europe","1756","Portugal"
"10337","FRANK","4","","","","3","44.25","Frankenversand","Berliner Platz 43","München","Western Europe","80805","Germany","Frankenversand","Berliner Platz 43","München","Western Europe","80805","Germany"
"10338","OLDWO","4","","","","3","18.75","Old World Delicatessen","2743 Bering St.","Anchorage","North America","99508","USA","Old World Delicatessen","2743 Bering St.","Anchorage","North America","99508","USA"
"10339","MEREP","2","","","","2","37","Mère Paillarde","43 rue St. Laurent","Montréal","North America","H1J 1C3","Canada","Mère Paillarde","43 rue St. Laurent","Montréal","North America","H1J 1C3","Canada"
"10340","BONAP","1","","","","3","28","Bon app-","12, rue des Bouchers","Marseille","Western Europe","13008","France","Bon app'","12, rue des Bouchers","Marseille","Western Europe","13008","France"
"10341","SIMOB","7","","","","3","14.25","Simons bistro","Vinbæltet 34","Kobenhavn","Northern Europe","1734","Denmark","Simons bistro","Vinbæltet 34","Kobenhavn","Northern Europe","1734","Denmark"
"10342","FRANK","4","","","","2","50","Frankenversand","Berliner Platz 43","München","Western Europe","80805","Germany","Frankenversand","Berliner Platz 43","München","Western Europe","80805","Germany"
"10343","LEHMS","4","","","","1","27.25","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","Western Europe","60528","Germany","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","Western Europe","60528","Germany"
"10344","WHITC","4","","","","2","36.25","White Clover Markets","1029 - 12th Ave. S.","Seattle","North America","98124","USA","White Clover Markets","305 - 14th Ave. S. Suite 3B","Seattle","North America","98128","USA"
"10345","QUICK","2","","","","2","49.75","QUICK-Stop","Taucherstraße 10","Cunewalde","Western Europe","1307","Germany","QUICK-Stop","Taucherstraße 10","Cunewalde","Western Europe","01307","Germany"
"10346","RATTC","3","","","","3","24","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","North America","87110","USA"
"10347","FAMIA","4","","","","3","27.5","Familia Arquibaldo","Rua Orós, 92","Sao Paulo","South America","05442-030","Brazil","Familia Arquibaldo","Rua Orós, 92","Sao Paulo","South America","05442-030","Brazil"
