"OrderID","ProductID","ProductName","UnitPrice","Quantity","Discount","ExtendedPrice"
"10278","44","Gula Malacca","15.5","16","0.0","248.0"
"10278","59","Raclette Courdavault","44","15","0.0","660.0"
"10278","63","Vegie-spread","35.1","8","0.0","280.8"
"10278","73","Röd Kaviar","12","25","0.0","300.0"
"10279","17","Alice Mutton","31.2","15","0.25","351.0"
"10280","24","Guaraná Fantástica","3.6","12","0.0","43.2"
"10280","55","Pâté chinois","19.2","20","0.0","384.0"
"10280","75","Rhönbräu Klosterbier","6.2","30","0.0","186.0"
"10281","19","Teatime Chocolate Biscuits","7.3","1","0.0","7.3"
"10281","24","Guaraná Fantástica","3.6","6","0.0","21.6"
"10281","35","Steeleye Stout","14.4","4","0.0","57.6"
"10282","30","Nord-Ost Matjeshering","20.7","6","0.0","124.2"
"10282","57","Ravioli Angelo","15.6","2","0.0","31.2"
"10283","15","Genen Shouyu","12.4","20","0.0","248.0"
"10283","19","Teatime Chocolate Biscuits","7.3","18","0.0","131.4"
"10283","60","Camembert Pierrot","27.2","35","0.0","952.0"
"10283","72","Mozzarella di Giovanni","27.8","3","0.0","83.4"
"10284","27","Schoggi Schokolade","35.1","15","0.25","394.875"
"10284","44","Gula Malacca","15.5","21","0.0","325.5"
"10284","60","Camembert Pierrot","27.2","20","0.25","408.0"
"10284","67","Laughing Lumberjack Lager","11.2","5","0.25","42.0"
"10285","1","Chai","14.4","45","0.2","518.4"
