"OrderID","ProductID","ProductName","UnitPrice","Quantity","Discount","ExtendedPrice"
"10263","16","Pavlova","13.90","60","0.25","625.5000"
"10263","24","Guaraná Fantástica","3.60","28","0.00","100.8000"
"10263","30","Nord-Ost Matjeshering","20.70","60","0.25","931.5000"
"10263","74","Longlife Tofu","8.00","36","0.25","216.0000"
"10264","2","Chang","15.20","35","0.00","532.0000"
"10264","41","Jack's New England Clam Chowder","7.70","25","0.15","163.6250"
"10265","17","Alice Mutton","31.20","30","0.00","936.0000"
"10265","70","Outback Lager","12.00","20","0.00","240.0000"
"10266","12","Queso Manchego La Pastora","30.40","12","0.05","346.5600"
"10267","40","Boston Crab Meat","14.70","50","0.00","735.0000"
"10267","59","Raclette Courdavault","44.00","70","0.15","2618.0000"
"10267","76","Lakkalikööri","14.40","15","0.15","183.6000"
"10268","29","Thüringer Rostbratwurst","99.00","10","0.00","990.0000"
"10268","72","Mozzarella di Giovanni","27.80","4","0.00","111.2000"
"10269","33","Geitost","2.00","60","0.05","114.0000"
"10269","72","Mozzarella di Giovanni","27.80","20","0.05","528.2000"
"10270","36","Inlagd Sill","15.20","30","0.00","456.0000"
"10270","43","Ipoh Coffee","36.80","25","0.00","920.0000"
"10271","33","Geitost","2.00","24","0.00","48.0000"
"10272","20","Sir Rodney's Marmalade","64.80","6","0.00","388.8000"
"10272","31","Gorgonzola Telino","10.00","40","0.00","400.0000"
"10272","72","Mozzarella di Giovanni","27.80","24","0.00","667.2000"
"10273","10","Ikura","24.80","24","0.05","565.4400"
"10273","31","Gorgonzola Telino","10.00","15","0.05","142.5000"
"10273","33","Geitost","2.00","20","0.00","40.0000"
"10273","40","Boston Crab Meat","14.70","60","0.05","837.9000"
"10273","76","Lakkalikööri","14.40","33","0.05","451.4400"
"10274","71","Flotemysost","17.20","20","0.00","344.0000"
"10274","72","Mozzarella di Giovanni","27.80","7","0.00","194.6000"
"10275","24","Guaraná Fantástica","3.60","12","0.05","41.0400"
"10275","59","Raclette Courdavault","44.00","6","0.05","250.8000"
"10276","10","Ikura","24.80","15","0.00","372.0000"
"10276","13","Konbu","4.80","10","0.00","48.0000"
"10277","28","Rössle Sauerkraut","36.40","20","0.00","728.0000"
"10277","62","Tarte au sucre","39.40","12","0.00","472.8000"
"10278","44","Gula Malacca","15.50","16","0.00","248.0000"
"10278","59","Raclette Courdavault","44.00","15","0.00","660.0000"
"10278","63","Vegie-spread","35.10","8","0.00","280.8000"
"10278","73","Röd Kaviar","12.00","25","0.00","300.0000"
"10279","17","Alice Mutton","31.20","15","0.25","351.0000"
"10280","24","Guaraná Fantástica","3.60","12","0.00","43.2000"
"10280","55","Pâté chinois","19.20","20","0.00","384.0000"
"10280","75","Rhönbräu Klosterbier","6.20","30","0.00","186.0000"
"10281","19","Teatime Chocolate Biscuits","7.30","1","0.00","7.3000"
"10281","24","Guaraná Fantástica","3.60","6","0.00","21.6000"
"10281","35","Steeleye Stout","14.40","4","0.00","57.6000"
"10282","30","Nord-Ost Matjeshering","20.70","6","0.00","124.2000"
"10282","57","Ravioli Angelo","15.60","2","0.00","31.2000"
"10283","15","Genen Shouyu","12.40","20","0.00","248.0000"
"10283","19","Teatime Chocolate Biscuits","7.30","18","0.00","131.4000"
"10283","60","Camembert Pierrot","27.20","35","0.00","952.0000"
"10283","72","Mozzarella di Giovanni","27.80","3","0.00","83.4000"
"10284","27","Schoggi Schokolade","35.10","15","0.25","394.8750"
"10284","44","Gula Malacca","15.50","21","0.00","325.5000"
"10284","60","Camembert Pierrot","27.20","20","0.25","408.0000"
"10284","67","Laughing Lumberjack Lager","11.20","5","0.25","42.0000"
"10285","1","Chai","14.40","45","0.20","518.4000"
